age,sex,product,qx0,qx1p
17,M,ImmAnn,0.000433,0.000587
17,F,ImmAnn,0.000216,0.000302
18,M,ImmAnn,0.000429,0.000582
18,F,ImmAnn,0.000217,0.000302
19,M,ImmAnn,0.000426,0.000577
19,F,ImmAnn,0.000217,0.000302
20,M,ImmAnn,0.000423,0.000573
20,F,ImmAnn,0.000217,0.000303
21,M,ImmAnn,0.00042,0.000569
21,F,ImmAnn,0.000218,0.000304
22,M,ImmAnn,0.000418,0.000567
22,F,ImmAnn,0.000218,0.000304
23,M,ImmAnn,0.000417,0.000565
23,F,ImmAnn,0.000219,0.000305
24,M,ImmAnn,0.000416,0.000564
24,F,ImmAnn,0.00022,0.000307
25,M,ImmAnn,0.000417,0.000565
25,F,ImmAnn,0.000221,0.000308
26,M,ImmAnn,0.000418,0.000567
26,F,ImmAnn,0.000222,0.00031
27,M,ImmAnn,0.000421,0.00057
27,F,ImmAnn,0.000224,0.000312
28,M,ImmAnn,0.000425,0.000576
28,F,ImmAnn,0.000225,0.000314
29,M,ImmAnn,0.00043,0.000583
29,F,ImmAnn,0.000228,0.000317
30,M,ImmAnn,0.000438,0.000593
30,F,ImmAnn,0.00023,0.000321
31,M,ImmAnn,0.000448,0.000606
31,F,ImmAnn,0.000233,0.000325
32,M,ImmAnn,0.00046,0.000623
32,F,ImmAnn,0.000237,0.000331
33,M,ImmAnn,0.000474,0.000643
33,F,ImmAnn,0.000242,0.000337
34,M,ImmAnn,0.000492,0.000667
34,F,ImmAnn,0.000247,0.000345
35,M,ImmAnn,0.000514,0.000696
35,F,ImmAnn,0.000254,0.000354
36,M,ImmAnn,0.00054,0.000731
36,F,ImmAnn,0.000261,0.000364
37,M,ImmAnn,0.00057,0.000772
37,F,ImmAnn,0.000271,0.000377
38,M,ImmAnn,0.000606,0.000821
38,F,ImmAnn,0.000281,0.000392
39,M,ImmAnn,0.000648,0.000878
39,F,ImmAnn,0.000294,0.00041
40,M,ImmAnn,0.000697,0.000945
40,F,ImmAnn,0.00031,0.000432
41,M,ImmAnn,0.000754,0.001022
41,F,ImmAnn,0.000328,0.000457
42,M,ImmAnn,0.00082,0.001111
42,F,ImmAnn,0.000349,0.000487
43,M,ImmAnn,0.000896,0.001215
43,F,ImmAnn,0.000374,0.000522
44,M,ImmAnn,0.000984,0.001333
44,F,ImmAnn,0.000404,0.000564
45,M,ImmAnn,0.001085,0.00147
45,F,ImmAnn,0.000439,0.000612
46,M,ImmAnn,0.001201,0.001627
46,F,ImmAnn,0.00048,0.000669
47,M,ImmAnn,0.001333,0.001806
47,F,ImmAnn,0.000528,0.000736
48,M,ImmAnn,0.001484,0.00201
48,F,ImmAnn,0.000585,0.000815
49,M,ImmAnn,0.001656,0.002243
49,F,ImmAnn,0.00065,0.000907
50,M,ImmAnn,0.001852,0.002508
50,F,ImmAnn,0.000727,0.001014
51,M,ImmAnn,0.002074,0.002809
51,F,ImmAnn,0.000816,0.001138
52,M,ImmAnn,0.002326,0.00315
52,F,ImmAnn,0.00092,0.001283
53,M,ImmAnn,0.002611,0.003536
53,F,ImmAnn,0.001041,0.001451
54,M,ImmAnn,0.002934,0.003973
54,F,ImmAnn,0.001181,0.001647
55,M,ImmAnn,0.003298,0.004466
55,F,ImmAnn,0.001343,0.001873
56,M,ImmAnn,0.003708,0.005021
56,F,ImmAnn,0.001531,0.002134
57,M,ImmAnn,0.00417,0.005646
57,F,ImmAnn,0.001747,0.002435
58,M,ImmAnn,0.004689,0.006348
58,F,ImmAnn,0.001997,0.002783
59,M,ImmAnn,0.005271,0.007136
59,F,ImmAnn,0.002284,0.003183
60,M,ImmAnn,0.005925,0.008019
60,F,ImmAnn,0.002613,0.003642
61,M,ImmAnn,0.006656,0.009008
61,F,ImmAnn,0.002991,0.004168
62,M,ImmAnn,0.007474,0.010113
62,F,ImmAnn,0.003424,0.004771
63,M,ImmAnn,0.008387,0.011347
63,F,ImmAnn,0.00392,0.005461
64,M,ImmAnn,0.009405,0.012722
64,F,ImmAnn,0.004485,0.006247
65,M,ImmAnn,0.010539,0.014254
65,F,ImmAnn,0.005129,0.007144
66,M,ImmAnn,0.0118,0.015956
66,F,ImmAnn,0.005862,0.008164
67,M,ImmAnn,0.013201,0.017846
67,F,ImmAnn,0.006695,0.009322
68,M,ImmAnn,0.014756,0.019941
68,F,ImmAnn,0.007639,0.010635
69,M,ImmAnn,0.016477,0.022261
69,F,ImmAnn,0.008708,0.01212
70,M,ImmAnn,0.018382,0.024826
70,F,ImmAnn,0.009917,0.013799
71,M,ImmAnn,0.020486,0.027657
71,F,ImmAnn,0.01128,0.015692
72,M,ImmAnn,0.022807,0.030778
72,F,ImmAnn,0.012816,0.017824
73,M,ImmAnn,0.025365,0.034214
73,F,ImmAnn,0.014544,0.020219
74,M,ImmAnn,0.028179,0.03799
74,F,ImmAnn,0.016482,0.022905
75,M,ImmAnn,0.031269,0.042133
75,F,ImmAnn,0.018655,0.025913
76,M,ImmAnn,0.03466,0.046673
76,F,ImmAnn,0.021084,0.029274
77,M,ImmAnn,0.038373,0.051638
77,F,ImmAnn,0.023797,0.033022
78,M,ImmAnn,0.042434,0.057061
78,F,ImmAnn,0.026819,0.037193
79,M,ImmAnn,0.046868,0.062972
79,F,ImmAnn,0.03018,0.041826
80,M,ImmAnn,0.051702,0.069406
80,F,ImmAnn,0.03391,0.04696
81,M,ImmAnn,0.056963,0.076395
81,F,ImmAnn,0.038042,0.052639
82,M,ImmAnn,0.06268,0.083973
82,F,ImmAnn,0.04261,0.058905
83,M,ImmAnn,0.068881,0.092175
83,F,ImmAnn,0.047649,0.065804
84,M,ImmAnn,0.075596,0.101034
84,F,ImmAnn,0.053196,0.073381
85,M,ImmAnn,0.082853,0.110584
85,F,ImmAnn,0.059289,0.081684
86,M,ImmAnn,0.090684,0.120858
86,F,ImmAnn,0.065966,0.090759
87,M,ImmAnn,0.099116,0.131886
87,F,ImmAnn,0.073266,0.100653
88,M,ImmAnn,0.108179,0.143698
88,F,ImmAnn,0.08123,0.111409
89,M,ImmAnn,0.117899,0.156321
89,F,ImmAnn,0.089896,0.123073
90,M,ImmAnn,0.128304,0.169777
90,F,ImmAnn,0.099302,0.135683
91,M,ImmAnn,0.139418,0.184088
91,F,ImmAnn,0.109485,0.149278
92,M,ImmAnn,0.151264,0.199268
92,F,ImmAnn,0.120482,0.163888
93,M,ImmAnn,0.163861,0.215328
93,F,ImmAnn,0.132322,0.179541
94,M,ImmAnn,0.177225,0.232274
94,F,ImmAnn,0.145037,0.196255
95,M,ImmAnn,0.19137,0.250103
95,F,ImmAnn,0.158651,0.214043
96,M,ImmAnn,0.206304,0.268807
96,F,ImmAnn,0.173184,0.232906
97,M,ImmAnn,0.222031,0.28837
97,F,ImmAnn,0.188651,0.252839
98,M,ImmAnn,0.238551,0.308768
98,F,ImmAnn,0.205059,0.273821
99,M,ImmAnn,0.255856,0.329968
99,F,ImmAnn,0.222408,0.295822
100,M,ImmAnn,0.273933,0.351927
100,F,ImmAnn,0.240692,0.318799
101,M,ImmAnn,0,0.374596
101,F,ImmAnn,0,0.342696
102,M,ImmAnn,0,0.397913
102,F,ImmAnn,0,0.367443
103,M,ImmAnn,0,0.421809
103,F,ImmAnn,0,0.392956
104,M,ImmAnn,0,0.446206
104,F,ImmAnn,0,0.419139
105,M,ImmAnn,0,0.471017
105,F,ImmAnn,0,0.445883
106,M,ImmAnn,0,0.496148
106,F,ImmAnn,0,0.473069
107,M,ImmAnn,0,0.521498
107,F,ImmAnn,0,0.500566
108,M,ImmAnn,0,0.546959
108,F,ImmAnn,0,0.528237
109,M,ImmAnn,0,0.572422
109,F,ImmAnn,0,0.555937
110,M,ImmAnn,0,0.597771
110,F,ImmAnn,0,0.583518
111,M,ImmAnn,0,0.622892
111,F,ImmAnn,0,0.610832
112,M,ImmAnn,0,0.64767
112,F,ImmAnn,0,0.637731
113,M,ImmAnn,0,0.671993
113,F,ImmAnn,0,0.664072
114,M,ImmAnn,0,0.695751
114,F,ImmAnn,0,0.689719
115,M,ImmAnn,0,0.718842
115,F,ImmAnn,0,0.714545
116,M,ImmAnn,0,0.74117
116,F,ImmAnn,0,0.738437
117,M,ImmAnn,0,0.762651
117,F,ImmAnn,0,0.761294
118,M,ImmAnn,0,0.783207
118,F,ImmAnn,0,0.78303
119,M,ImmAnn,0,0.802773
119,F,ImmAnn,0,0.803579
120,M,ImmAnn,0,1
120,F,ImmAnn,0,1